,borough,neighborhood,block,lot,easement,building_class_present,address,zip_code,commmercial_units,land_sq_feet,gross_sq_feet,year_built,sale_price,sale_date
204018,4,LAURELTON,12941,94,,A2,131-43 FRANCIS LEWIS BLVD,11413,0,3560,1473,1940,0,2012-01-01
217555,2,BATHGATE,3046,42,,A1,2069 BATHGATE AVE,10457,0,1964,1424,1899,345376,2012-04-05
217598,2,BAYCHESTER,4707,70,,A5,1134 EAST 213 STREET,10469,0,2320,1813,1950,335700,2012-05-17
217599,2,BAYCHESTER,4708,48,,A5,1110 EAST 214TH STREET,10469,0,1710,1813,1945,338000,2012-02-03
217600,2,BAYCHESTER,4710,1,,A5,1127 EAST 215TH STREET,10469,0,2759,1998,1945,0,2012-12-20
217601,2,BAYCHESTER,4710,1,,A5,1127 EAST 215TH STREET,10469,0,2759,1998,1945,0,2012-03-27
217602,2,BAYCHESTER,4711,96,,A5,1323 HICKS STREET,10469,0,1995,1701,1950,357500,2012-05-04
217603,2,BAYCHESTER,4715,22,,A5,1156 EAST 221 STREET,10469,0,1842,1744,1950,180000,2012-12-19
217604,2,BAYCHESTER,4715,56,,A9,3840 LACONIA AVENUE,10469,0,2320,1690,1950,290000,2012-12-18
217605,2,BAYCHESTER,4715,61,,A9,1118 221ST STREET,10469,0,2514,1690,1950,250000,2012-12-17
217606,2,BAYCHESTER,4717,26,,A2,1460 OAKLEY STREET,10469,0,4750,2399,1930,375000,2012-11-29
217607,2,BAYCHESTER,4717,26,,A2,1460 OAKLEY STREET,10469,0,4750,2399,1930,0,2012-09-15
217608,2,BAYCHESTER,4724,12,,A1,3471 KINGSLAND AVENUE,10469,0,2288,2040,1930,267000,2012-05-21
217609,2,BAYCHESTER,4724,21,,A1,3453 KINGSLAND AVENUE,10469,0,2283,1588,1910,249600,2012-06-01
217610,2,BAYCHESTER,4725,45,,A9,1453 HICKS STREET,10469,0,1710,1690,1945,313000,2012-09-20
217611,2,BAYCHESTER,4730,10,,A1,1320 EAST 222ND,10469,0,1938,1974,1901,0,2012-08-23
217612,2,BAYCHESTER,4730,10,,A1,1320 EAST 222 STREET,10469,0,1938,1974,1901,232000,2012-08-23
217613,2,BAYCHESTER,4730,40,,A5,3408 GUNTHER AVENUE,10469,0,1710,1714,1950,346500,2012-02-15
217614,2,BAYCHESTER,4730,45,,A5,3418 GUNTHER AVENUE,10469,0,1710,1890,1950,335000,2012-12-19
217615,2,BAYCHESTER,4731,20,,A2,1378 WICKHAM AVENUE,10469,0,3040,990,1899,0,2012-05-08
217616,2,BAYCHESTER,4731,20,,A2,1378 WICKHAM AVENUE,10469,0,3040,990,1899,0,2012-04-05
217617,2,BAYCHESTER,4734,23,,A5,3341 WILSON AVENUE,10469,0,1900,1738,1940,149750,2012-05-20
217618,2,BAYCHESTER,4735,85,,A5,3312 WILSON AVE,10469,0,2217,2430,1930,265000,2012-09-14
217619,2,BAYCHESTER,4737,38,,A5,3305 FENTON AVE,10469,0,1900,1406,1945,0,2012-12-12
217620,2,BAYCHESTER,4740,43,,A5,3228 FISH AVE,10469,0,2500,1736,1935,385000,2012-06-28
217621,2,BAYCHESTER,4740,43,,A5,3228 FISH AVENUE,10469,0,2500,1736,1935,225000,2012-01-18
217622,2,BAYCHESTER,4742,7,,A5,3253 CORSA AVENUE,10469,0,1800,1260,1950,157000,2012-11-02
217623,2,BAYCHESTER,4745,8,,A5,3345 KINGSLAND AVENUE,10469,0,1710,1863,1950,0,2012-02-13
217624,2,BAYCHESTER,4745,12,,A5,3337 KINGSLAND AVENUE,10469,0,1710,1863,1950,0,2012-03-29
217625,2,BAYCHESTER,4745,39,,A1,3310 MICKLE AVENUE,10469,0,2375,1088,1920,376000,2012-09-27
217626,2,BAYCHESTER,4745,39,,A1,3310 MICKLE AVE,10469,0,2375,1088,1920,172000,2012-05-03
